index,pdi,ls,ta,sa,rg,rgn,ze,sm
0,1.0,2,10,0,49.12150179213416,8.582131321072824,34.125,307.358996485722
1,1.0,2,10,1,47.06741619827493,8.223257270645346,35.375,467.770579247415
2,1.0,2,10,2,48.034773188960855,8.392266450445176,35.25,495.598202759279
3,1.0,2,10,3,47.7455378898423,8.341733481599286,35.812,589.114127941504
4,1.0,2,10,4,46.467868943429735,8.118508981473656,34.875,376.507730998601
5,1.0,2,10,5,47.543162894492745,8.306376077553681,35.469,456.371465975409
6,1.0,2,10,6,50.19154839110217,8.76908164011786,38.469,401.573642005393
7,1.0,2,10,7,47.986415528140725,8.38381777154903,39.25,527.941366533036
8,1.0,2,10,8,49.88642179494194,8.71577226596883,36.0,316.575985311811
9,1.0,2,10,9,49.12694832796082,8.58308289795879,39.062,338.093095052689
10,1.0,2,20,0,47.41851736996807,8.284598969341854,29.656,292.675463818787
11,1.0,2,20,1,47.526086542606144,8.303392628574539,32.656,426.156505715255
12,1.0,2,20,2,48.38635667786649,8.453692415898704,32.969,419.769156901506
13,1.0,2,20,3,47.6015297050432,8.316573478175833,32.75,506.22796730877
14,1.0,2,20,4,45.10820578899083,7.880959083402597,33.031,332.544819437866
15,1.0,2,20,5,47.23204364849442,8.252019713675198,31.469,417.698151553697
16,1.0,2,20,6,49.23303231126451,8.601617076323844,34.938,408.647808807465
17,1.0,2,20,7,48.28258293108144,8.435561864305274,36.219,478.994760902753
18,1.0,2,20,8,49.754475278339285,8.692719584525296,34.125,277.653145030389
19,1.0,2,20,9,49.59678211492806,8.665168646800357,36.125,317.728115998871
20,1.0,2,30,0,47.07417883239804,8.224438786112168,27.344,274.744018277191
21,1.0,2,30,1,46.44400984185343,8.114340502590473,31.375,403.255835265674
22,1.0,2,30,2,47.7863069443439,8.348856337513775,30.906,369.073529821765
23,1.0,2,30,3,47.83884181012396,8.35803482556097,30.562,477.503957784362
24,1.0,2,30,4,44.1346949465984,7.710874749921613,29.25,320.858161952689
25,1.0,2,30,5,46.96838973893607,8.20595612863419,29.5,387.625379637535
26,1.0,2,30,6,49.04192956268791,8.56822907261332,32.5,385.362708083097
27,1.0,2,30,7,47.47826002259468,8.295036746518953,34.5,459.774315078657
28,1.0,2,30,8,49.23144261178791,8.60133933624727,31.969,283.496773336111
29,1.0,2,30,9,49.52254241632264,8.652198057151761,33.469,290.998927249464
30,1.0,2,40,0,45.74246072128439,7.991771231268425,25.594,277.751581950121
31,1.0,2,40,1,46.01405165892828,8.03922151286479,29.469,322.60071618187
32,1.0,2,40,2,47.44653910355459,8.289494711302295,27.938,326.90664740002
33,1.0,2,40,3,47.21863593825678,8.249677221573446,28.469,466.625067481563
34,1.0,2,40,4,43.43421188833226,7.5884917328130195,26.344,273.237491250461
35,1.0,2,40,5,46.5433452783286,8.131695626712565,28.094,368.936457564133
36,1.0,2,40,6,47.62719233307472,8.32105705534215,31.312,367.133924219168
37,1.0,2,40,7,46.50862282362281,8.125629186249565,31.406,394.825675465856
38,1.0,2,40,8,48.26719064124174,8.432872641705865,29.75,268.956430848668
39,1.0,2,40,9,48.13747390557906,8.410209530453507,31.594,265.878231910455
40,1.0,2,50,0,45.72176685382794,7.9881557577675615,23.875,263.440661542377
41,1.0,2,50,1,45.55343114288912,7.958745435920794,26.656,275.55041902933
42,1.0,2,50,2,46.794592947747226,8.175591688811576,27.938,319.829888516521
43,1.0,2,50,3,47.69657700852871,8.333179412653944,27.062,405.091135274592
44,1.0,2,50,4,42.75902843130167,7.470528867618609,26.75,280.473955215154
45,1.0,2,50,5,46.49297198049818,8.122894791207056,27.0,338.361266305838
46,1.0,2,50,6,47.57195241232984,8.311405960878377,28.281,312.248470083443
47,1.0,2,50,7,46.556528303498105,8.133998863565797,28.188,375.918815015884
48,1.0,2,50,8,47.772909846358,8.346515699503097,28.844,279.656416341977
49,1.0,2,50,9,47.3295723283424,8.26905917516333,28.156,282.095181299479
50,1.0,4,10,0,65.48534293780986,11.44109589881812,38.969,610.377236222698
51,1.0,4,10,1,63.431596449732034,11.082281094346923,40.938,632.026214015107
52,1.0,4,10,2,62.42881657472166,10.907083100403543,41.844,596.037264126714
53,1.0,4,10,3,62.8971613380767,10.988908698481929,38.75,817.266006528313
54,1.0,4,10,4,64.10470804879016,11.199881980437487,40.469,664.662627071135
55,1.0,4,10,5,67.64122663852203,11.817755332211808,41.281,566.654559780445
56,1.0,4,10,6,63.56561350388075,11.10569552419955,39.219,852.095861589242
57,1.0,4,10,7,63.2922231326323,11.057930859391467,39.5,840.829392854327
58,1.0,4,10,8,65.00903920293709,11.35787977039653,40.094,716.286979741849
59,1.0,4,10,9,65.10287986541314,11.374274889829849,40.594,847.168637215103
60,1.0,4,20,0,64.28117058763462,11.23071215920567,36.5,549.44311543803
61,1.0,4,20,1,62.57176374935258,10.9320577322837,36.531,605.29031258348
62,1.0,4,20,2,61.25267756507534,10.70159713062732,37.594,546.875414244292
63,1.0,4,20,3,61.62299758225409,10.76629659832069,35.688,749.818636590184
64,1.0,4,20,4,62.58973894232446,10.935198219870156,37.625,579.574575798438
65,1.0,4,20,5,66.21828660393113,11.569150183889032,36.25,516.302457815419
66,1.0,4,20,6,63.15819069683575,11.03451374217553,36.594,695.60744520623
67,1.0,4,20,7,61.71236005050661,10.78190932207176,37.062,686.326561425721
68,1.0,4,20,8,63.35770447062655,11.06937125557732,35.406,614.960574401548
69,1.0,4,20,9,65.09651846085124,11.37316347410873,37.688,769.720992958851
70,1.0,4,30,0,63.918043968953214,11.167269466820398,33.906,519.737110369433
71,1.0,4,30,1,61.53066755463541,10.750165405401244,34.156,494.129585937004
72,1.0,4,30,2,60.331111173201286,10.540588132376032,35.906,506.4109909562
73,1.0,4,30,3,59.97282370903981,10.47799089988221,33.594,726.113239393121
74,1.0,4,30,4,61.00266175639597,10.657916289770494,35.188,557.056851819975
75,1.0,4,30,5,64.98157407890326,11.353081274979894,34.531,418.174598031651
76,1.0,4,30,6,61.23235759592237,10.698046981764836,33.25,616.389716480983
77,1.0,4,30,7,61.227302827987366,10.697163851554375,34.531,704.480869746381
78,1.0,4,30,8,62.486808328224605,10.917214973940467,34.469,579.437098275104
79,1.0,4,30,9,63.59877686478046,11.111489571773545,34.875,636.049300461713
80,1.0,4,40,0,63.26930068671216,11.05392602578684,31.25,500.827243644906
81,1.0,4,40,1,60.180364546793896,10.514250840216045,32.031,436.126421558285
82,1.0,4,40,2,60.077664472119245,10.496307872363154,34.0,447.858536906992
83,1.0,4,40,3,59.21520728356918,10.345625979894525,30.156,627.171767194006
84,1.0,4,40,4,60.38621090814538,10.550214734653942,32.344,484.308584316318
85,1.0,4,40,5,64.22687380121614,11.221225841923932,31.781,380.434341376843
86,1.0,4,40,6,60.116753590837625,10.503137222806991,31.688,567.464390518452
87,1.0,4,40,7,60.69275788306212,10.603772266464471,33.688,604.592205223613
88,1.0,4,40,8,61.27282265380101,10.705116725725407,32.406,506.539997977207
89,1.0,4,40,9,62.095368527448855,10.84882561995109,32.844,573.819924897016
90,1.0,4,50,0,62.27596038768389,10.880377242021044,28.781,449.655423507262
91,1.0,4,50,1,58.83986404303896,10.280048893217929,29.031,417.429262229241
92,1.0,4,50,2,58.23569951635253,10.174493909791364,32.156,424.516567707429
93,1.0,4,50,3,58.98476759122837,10.305365327652554,28.969,573.106942612695
94,1.0,4,50,4,59.19347889658964,10.341829763092306,30.0,410.247158564153
95,1.0,4,50,5,63.82010724399359,11.150158714825965,29.875,356.055882355783
96,1.0,4,50,6,58.530924086395295,10.226073278028837,29.5,506.910042843223
97,1.0,4,50,7,60.16414338803972,10.511416804009302,29.594,534.325357947211
98,1.0,4,50,8,61.15173262423857,10.683960806271338,30.375,472.893754314972
99,1.0,4,50,9,61.27944833955024,10.70627431462472,30.625,524.320352990372
100,1.0,6,10,0,83.61362362454926,14.60832979441898,40.344,916.315929176375
101,1.0,6,10,1,81.1380324349102,14.175813525338311,40.719,996.236801869865
102,1.0,6,10,2,77.70862781060116,13.576654302490049,40.781,883.937076452755
103,1.0,6,10,3,76.95502914740226,13.444991335052162,39.656,1061.92089625544
104,1.0,6,10,4,79.50084561190813,13.889776824514485,42.844,995.756331656176
105,1.0,6,10,5,76.61214949144238,13.385086036406689,41.344,927.351336363893
106,1.0,6,10,6,76.89512108950024,13.434524659536391,41.469,1213.28332556238
107,1.0,6,10,7,74.60745346429475,13.034840951543078,39.75,1054.03933727093
108,1.0,6,10,8,83.01824855398254,14.504310437223456,39.656,954.407901111795
109,1.0,6,10,9,75.99972142576476,13.27808731094839,41.5,819.568558710906
110,1.0,6,20,0,81.59861021134793,14.256282135147575,36.969,797.276187482282
111,1.0,6,20,1,80.26848953662993,14.023893672115449,37.469,913.694603649095
112,1.0,6,20,2,76.81824136219603,13.421092824360729,38.25,828.902072303692
113,1.0,6,20,3,75.35509093689106,13.165462425567394,35.156,884.836911157633
114,1.0,6,20,4,78.27306772205543,13.675268906405332,36.5,890.69839945656
115,1.0,6,20,5,74.66453462416533,13.044813733157971,36.688,790.470581470733
116,1.0,6,20,6,75.36498913226333,13.167191762200584,37.188,1049.24154295961
117,1.0,6,20,7,72.94114711360625,12.743716710609627,37.594,959.252175740139
118,1.0,6,20,8,80.91750834553932,14.137285251051225,37.812,884.098407226676
119,1.0,6,20,9,74.99848907265047,13.10315968813883,39.5,771.364273415166
120,1.0,6,30,0,79.73824157406673,13.931252822763865,34.031,711.563759915537
121,1.0,6,30,1,78.56480522823698,13.726239041641168,34.906,843.378890995811
122,1.0,6,30,2,75.6520513436252,13.217345065852625,33.875,703.90834493737
123,1.0,6,30,3,73.4960625486866,12.840667271203284,33.25,706.249402308931
124,1.0,6,30,4,77.24527310356203,13.49570052870531,34.406,793.008770843199
125,1.0,6,30,5,72.21899928979754,12.617548592147385,34.5,730.696550791448
126,1.0,6,30,6,73.23728852966032,12.795456263136732,33.844,860.833025809208
127,1.0,6,30,7,72.06044629821113,12.589847431850988,34.875,907.562902947634
128,1.0,6,30,8,79.48702447440014,13.887362101577018,35.5,757.815404218974
129,1.0,6,30,9,73.58317514810392,12.855886915160488,35.594,710.878452817326
130,1.0,6,40,0,77.92689963361367,13.614789078106442,30.844,632.355558450789
131,1.0,6,40,1,76.6248697230201,13.38730841751988,32.75,699.65280819698
132,1.0,6,40,2,74.42129375928569,13.00231655842007,31.906,618.85688113319
133,1.0,6,40,3,73.0834332692691,12.768575854335248,29.406,648.686519706875
134,1.0,6,40,4,76.19119349106148,13.311539838838254,34.094,701.881808283546
135,1.0,6,40,5,70.41657529782795,12.302642922919402,31.062,659.677123626926
136,1.0,6,40,6,71.82215478554247,12.548214969898304,32.406,789.379443128562
137,1.0,6,40,7,70.58983272318447,12.33291312888853,32.0,747.251057767406
138,1.0,6,40,8,77.73380151571133,13.581052458800654,32.781,678.979254432483
139,1.0,6,40,9,71.85879641790144,12.554616714333031,32.25,685.281370700604
140,1.0,6,50,0,76.02390674444653,13.282312783977437,29.625,582.978474876503
141,1.0,6,50,1,75.0464276070936,13.111535140495144,31.562,672.086820758655
142,1.0,6,50,2,73.44148614797618,12.831132101861144,29.219,614.228385184958
143,1.0,6,50,3,71.22258280515166,12.44346236086929,28.875,615.518535845663
144,1.0,6,50,4,74.79751340440855,13.0680467637724,31.5,611.001392723927
145,1.0,6,50,5,69.02907306398993,12.06022919482393,30.062,626.512945485446
146,1.0,6,50,6,69.87992266737972,12.20888309921134,29.75,756.20561636501
147,1.0,6,50,7,69.490097100739,12.140775771805522,30.656,628.248658892041
148,1.0,6,50,8,76.0917942436864,13.294173566166082,30.469,632.801595266702
149,1.0,6,50,9,70.66557490880194,12.346146221522073,32.0,613.36811976256
150,1.0,8,10,0,89.76611402420234,15.683245638500882,40.5,960.472611311537
151,1.0,8,10,1,83.59373092180954,14.604854294260903,40.438,1187.09161813085
152,1.0,8,10,2,87.04380785584456,15.207625224209028,40.938,925.890505124797
153,1.0,8,10,3,89.9618859336092,15.717449402111706,39.688,917.63793658338
154,1.0,8,10,4,89.1263929069503,15.571478480803773,42.156,1091.96051201287
155,1.0,8,10,5,91.27822211985304,15.947429545243931,41.719,902.26250834638
156,1.0,8,10,6,89.87350865143274,15.702008802501226,42.406,1124.12120685607
157,1.0,8,10,7,90.560416211147,15.82202001282317,39.938,1066.34065852804
158,1.0,8,10,8,84.05900271262254,14.686143006190868,40.219,1143.4485158057
159,1.0,8,10,9,82.03807564610324,14.33306215885496,40.0,862.68361094347
160,1.0,8,20,0,86.66700316458397,15.141792804091272,36.719,881.699274315537
161,1.0,8,20,1,82.27197399447763,14.373927080901224,37.531,1047.3418805619
162,1.0,8,20,2,85.36324948456286,14.91401097975656,37.562,832.598170996114
163,1.0,8,20,3,87.61435918522736,15.307307568101857,34.656,879.175473707968
164,1.0,8,20,4,86.75250219860966,15.156730538302629,37.094,886.464192261249
165,1.0,8,20,5,88.09604417836819,15.391463868615997,36.312,707.248431342666
166,1.0,8,20,6,87.51999164453171,15.290820396554784,36.719,1028.83143634648
167,1.0,8,20,7,89.50735588902062,15.638037405537592,37.219,1010.32893362782
168,1.0,8,20,8,80.63820726979556,14.088487913374273,35.844,957.621971757659
169,1.0,8,20,9,80.68909828098052,14.09737919977874,37.219,776.456022774942
170,1.0,8,30,0,83.82940423291164,14.646029324155336,33.406,700.30693767829
171,1.0,8,30,1,80.72967387551024,14.10446825585358,33.969,917.184052116045
172,1.0,8,30,2,83.24497472771972,14.543922292031372,35.406,764.90192992225
173,1.0,8,30,3,85.27831794680792,14.899172394132734,33.125,718.298704936906
174,1.0,8,30,4,85.08762545234927,14.865856066869116,34.938,793.840749382246
175,1.0,8,30,5,86.671916659806,15.142651252218926,33.469,655.681754724788
176,1.0,8,30,6,85.55923865704966,14.948252701903163,36.656,896.261482096681
177,1.0,8,30,7,87.88900289252831,15.355291206153828,35.344,906.176029291602
178,1.0,8,30,8,79.0916462551627,13.81828465737862,32.312,841.20558332839
179,1.0,8,30,9,79.77986787343389,13.9385254499138,35.594,674.044449194679
180,1.0,8,40,0,81.44895812599546,14.230136072789746,32.656,622.62037855552
181,1.0,8,40,1,79.54104347098279,13.896799885553303,31.281,847.829789255009
182,1.0,8,40,2,80.72181988495679,14.103096066977727,31.406,654.717316761023
183,1.0,8,40,3,83.01239600593564,14.503287925002352,30.625,653.054473075386
184,1.0,8,40,4,84.12143338132029,14.697050412879976,31.781,748.733401723974
185,1.0,8,40,5,84.98685414277608,14.848250078033244,32.219,585.762782847944
186,1.0,8,40,6,83.80702885262403,14.64212006965412,33.219,804.295896417431
187,1.0,8,40,7,86.70249606209555,15.147993850400866,30.906,791.357925328077
188,1.0,8,40,8,77.05401758245378,13.46228583375203,32.469,768.171371861512
189,1.0,8,40,9,77.826107919583,13.597179524360554,32.0,618.399819886346
190,1.0,8,50,0,80.27007816889571,14.02417122573715,30.25,589.282803504243
191,1.0,8,50,1,77.74056670770766,13.582234421159429,30.281,700.565737215058
192,1.0,8,50,2,78.81872533088527,13.770602010737868,29.969,609.231488430035
193,1.0,8,50,3,82.11112400134428,14.345824606145758,28.531,620.705591819553
194,1.0,8,50,4,82.39507618506987,14.39543454966806,30.469,657.163519032566
195,1.0,8,50,5,82.7951350567725,14.465329761496903,29.375,529.89094365276
196,1.0,8,50,6,81.61172471046022,14.258573399654676,29.938,736.277293390005
197,1.0,8,50,7,84.1446173010974,14.701100929187607,30.438,689.988163440838
198,1.0,8,50,8,75.81282637164453,13.245434443279434,30.219,686.493058034883
199,1.0,8,50,9,76.65859556752258,13.393200737906565,28.719,556.565730454376
200,1.0,12,10,0,108.3823653799208,18.93573401959634,37.031,1043.02708091142
201,1.0,12,10,1,108.77376426714076,19.00411622548364,38.594,1031.15751395055
202,1.0,12,10,2,102.89587272197602,17.977176183114963,37.938,1032.89450982713
203,1.0,12,10,3,105.48681189084203,18.429845164739625,37.969,1226.87239083777
204,1.0,12,10,4,104.67852521399634,18.28862752780504,37.219,1069.30281625522
205,1.0,12,10,5,112.05108487037204,19.576704496852265,37.5,1153.21420582658
206,1.0,12,10,6,110.08832967691494,19.233786992158542,37.188,1092.77007141608
207,1.0,12,10,7,105.9825615289091,18.51645873193612,36.719,1204.50506304811
208,1.0,12,10,8,100.3532026897786,17.532940414126955,38.062,1100.1435587877
209,1.0,12,10,9,110.23624022946616,19.25962878728807,36.188,1266.66753902532
210,1.0,12,20,0,104.3832384817132,18.237037299058606,33.625,902.593843473245
211,1.0,12,20,1,104.75975268290736,18.30281896698421,35.031,868.076210161926
212,1.0,12,20,2,98.3126860538643,17.176437027761544,34.656,926.053988837715
213,1.0,12,20,3,102.45434751265516,17.90003629142373,34.719,1017.67844841423
214,1.0,12,20,4,101.5319176542985,17.738876434943872,33.156,902.948349749974
215,1.0,12,20,5,109.013990187964,19.046086652364217,33.531,1040.86295292697
